convention,legacy_convention,xml_projection_rotation,render_ray_rotation_note,is_primary_acceptance,photo_id,xml_image_path,valid_measurement_count,mean_reprojection_error_px,median_reprojection_error_px,p90_reprojection_error_px,max_reprojection_error_px,median_error_lt_2px,median_error_gt_10px,camera_chain_interpretation
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,Not used for tie point reprojection; render rays use R_camera_to_world = R_xml.T.,True,1,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,49,1.4126356865412526,1.1315349707649582,2.6333336011377897,4.211746427885885,True,False,XML camera chain is basically correct for tie point reprojection.
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,Not used for tie point reprojection; render rays use R_camera_to_world = R_xml.T.,True,2,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031135159_0002_V.JPG,69,1.421080569459461,1.152066583007529,3.007701094697156,4.115700179067846,True,False,XML camera chain is basically correct for tie point reprojection.
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,Not used for tie point reprojection; render rays use R_camera_to_world = R_xml.T.,True,3,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031135205_0003_V.JPG,76,1.581440773014655,1.2750067676010641,2.8543387282453887,4.589996212996204,True,False,XML camera chain is basically correct for tie point reprojection.
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,Not used for tie point reprojection; render rays use R_camera_to_world = R_xml.T.,True,4,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031135210_0004_V.JPG,71,1.4166110123772866,1.3531280153938365,2.8482675195501925,3.9006424040066134,True,False,XML camera chain is basically correct for tie point reprojection.
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,Not used for tie point reprojection; render rays use R_camera_to_world = R_xml.T.,True,5,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031135215_0005_V.JPG,80,1.469372649398022,1.208873893778641,3.1136474988299954,4.319857516531748,True,False,XML camera chain is basically correct for tie point reprojection.
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,Not used for tie point reprojection; render rays use R_camera_to_world = R_xml.T.,True,6,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031135220_0006_V.JPG,67,1.4774520845679981,1.1786969364867896,2.851516691879559,4.834013086812474,True,False,XML camera chain is basically correct for tie point reprojection.
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,Not used for tie point reprojection; render rays use R_camera_to_world = R_xml.T.,True,7,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,83,1.4734928617165683,1.102535043679946,3.1929536112919843,4.865809589026811,True,False,XML camera chain is basically correct for tie point reprojection.
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,Not used for tie point reprojection; render rays use R_camera_to_world = R_xml.T.,True,8,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031135228_0008_V.JPG,71,1.6253278432967857,1.4815721025082624,2.95685171807146,4.369055025686342,True,False,XML camera chain is basically correct for tie point reprojection.
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,Not used for tie point reprojection; render rays use R_camera_to_world = R_xml.T.,True,9,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031135230_0009_V.JPG,75,1.3648472592851881,1.1697740548403193,2.414659580984442,4.864776611024615,True,False,XML camera chain is basically correct for tie point reprojection.
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,Not used for tie point reprojection; render rays use R_camera_to_world = R_xml.T.,True,10,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031135231_0010_V.JPG,80,1.6956617940869871,1.3333664378665655,3.16475703983507,5.335779161599457,True,False,XML camera chain is basically correct for tie point reprojection.
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,Not used for tie point reprojection; render rays use R_camera_to_world = R_xml.T.,True,11,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031135235_0011_V.JPG,86,1.5610999843689268,1.2336246768016381,3.248670580569845,4.911556742292965,True,False,XML camera chain is basically correct for tie point reprojection.
world_to_camera_correct,R_xml,R_world_to_camera = R_xml,Not used for tie point reprojection; render rays use R_camera_to_world = R_xml.T.,True,12,//192.168.2.45/e/2025GS-test-data/202510/1094张/DJI_202510311347_009_新建面状航线1/DJI_20251031135236_0012_V.JPG,86,1.6760881874411382,1.4751123659061358,3.0453590245312023,4.205825481867984,True,False,XML camera chain is basically correct for tie point reprojection.
